Tur,x,y,presence
Cedrus libani,320500.0,4150500.0,1
Cedrus libani,303500.0,4155500.0,0
Cedrus libani,306500.0,4136500.0,0
Cedrus libani,358500.0,4127500.0,1
Cedrus libani,305500.0,4132500.0,0
Cedrus libani,315500.0,4154500.0,0
Cedrus libani,303500.0,4107500.0,0
Cedrus libani,314500.0,4119500.0,0
Cedrus libani,303500.0,4123500.0,0
Cedrus libani,303500.0,4145500.0,1
Cedrus libani,354500.0,4151500.0,1
Cedrus libani,309500.0,4125500.0,1
Cedrus libani,319500.0,4124500.0,1
Cedrus libani,311500.0,4153500.0,0
Cedrus libani,340500.0,4147500.0,1
Cedrus libani,335500.0,4114500.0,1
Cedrus libani,303500.0,4120500.0,0
Cedrus libani,343500.0,4125500.0,0
Cedrus libani,320500.0,4130500.0,0
Cedrus libani,329500.0,4136500.0,1
Cedrus libani,350500.0,4148500.0,1
Cedrus libani,315500.0,4154500.0,0
Cedrus libani,333500.0,4128500.0,0
Cedrus libani,346500.0,4131500.0,0
Cedrus libani,304500.0,4152500.0,0
Cedrus libani,310500.0,4111500.0,0
Cedrus libani,359500.0,4128500.0,0
Cedrus libani,342500.0,4155500.0,1
Cedrus libani,336500.0,4109500.0,0
Cedrus libani,320500.0,4138500.0,0
Cedrus libani,338500.0,4128500.0,0
Cedrus libani,329500.0,4155500.0,0
Cedrus libani,317500.0,4129500.0,1
Cedrus libani,304500.0,4156500.0,0
Cedrus libani,319500.0,4118500.0,1
Cedrus libani,343500.0,4107500.0,0
Cedrus libani,345500.0,4135500.0,0
Cedrus libani,322500.0,4158500.0,0
Cedrus libani,322500.0,4149500.0,1
Cedrus libani,331500.0,4156500.0,1
Cedrus libani,318500.0,4151500.0,1
Cedrus libani,325500.0,4134500.0,0
Cedrus libani,331500.0,4154500.0,1
Cedrus libani,325500.0,4124500.0,1
Cedrus libani,308500.0,4107500.0,0
Cedrus libani,335500.0,4142500.0,1
Cedrus libani,322500.0,4116500.0,0
Cedrus libani,314500.0,4150500.0,1
Cedrus libani,309500.0,4145500.0,1
Cedrus libani,300500.0,4128500.0,0
Cedrus libani,311500.0,4143500.0,1
Cedrus libani,309500.0,4133500.0,1
Cedrus libani,339500.0,4123500.0,0
Cedrus libani,308500.0,4115500.0,0
Cedrus libani,339500.0,4118500.0,0
Cedrus libani,303500.0,4130500.0,0
Cedrus libani,349500.0,4104500.0,0
Cedrus libani,335500.0,4134500.0,1
Cedrus libani,325500.0,4153500.0,1
Cedrus libani,325500.0,4156500.0,1
Cedrus libani,313500.0,4131500.0,1
Cedrus libani,321500.0,4121500.0,1
Cedrus libani,300500.0,4123500.0,0
Cedrus libani,306500.0,4136500.0,0
Cedrus libani,304500.0,4104500.0,0
Cedrus libani,324500.0,4150500.0,1
Cedrus libani,322500.0,4121500.0,1
Cedrus libani,307500.0,4152500.0,0
Cedrus libani,329500.0,4129500.0,0
Cedrus libani,305500.0,4150500.0,0
Cedrus libani,321500.0,4112500.0,1
Cedrus libani,353500.0,4115500.0,0
Cedrus libani,301500.0,4146500.0,0
Cedrus libani,333500.0,4136500.0,1
Cedrus libani,334500.0,4101500.0,1
Cedrus libani,333500.0,4140500.0,0
Cedrus libani,355500.0,4154500.0,1
Cedrus libani,316500.0,4126500.0,1
Cedrus libani,310500.0,4137500.0,1
Cedrus libani,334500.0,4125500.0,0
Cedrus libani,321500.0,4119500.0,1
Cedrus libani,351500.0,4109500.0,0
Cedrus libani,354500.0,4147500.0,1
Cedrus libani,352500.0,4134500.0,0
Cedrus libani,314500.0,4147500.0,1
Cedrus libani,322500.0,4113500.0,1
Cedrus libani,301500.0,4109500.0,0
Cedrus libani,316500.0,4147500.0,1
Cedrus libani,322500.0,4131500.0,0
Cedrus libani,346500.0,4137500.0,0
Cedrus libani,323500.0,4154500.0,1
Cedrus libani,314500.0,4129500.0,1
Cedrus libani,313500.0,4129500.0,1
Cedrus libani,357500.0,4120500.0,0
Cedrus libani,330500.0,4101500.0,1
Cedrus libani,351500.0,4118500.0,0
Cedrus libani,342500.0,4152500.0,1
Cedrus libani,350500.0,4114500.0,0
Cedrus libani,330500.0,4103500.0,1
Cedrus libani,350500.0,4119500.0,0
Cedrus libani,351500.0,4113500.0,0
Cedrus libani,325500.0,4112500.0,0
Cedrus libani,346500.0,4149500.0,1
Cedrus libani,308500.0,4158500.0,0
Cedrus libani,357500.0,4130500.0,0
Cedrus libani,309500.0,4120500.0,0
Cedrus libani,330500.0,4117500.0,0
Cedrus libani,309500.0,4124500.0,0
Cedrus libani,301500.0,4159500.0,0
Cedrus libani,346500.0,4118500.0,0
Cedrus libani,347500.0,4100500.0,1
Cedrus libani,355500.0,4147500.0,0
Cedrus libani,313500.0,4158500.0,0
Cedrus libani,318500.0,4127500.0,1
Cedrus libani,337500.0,4139500.0,1
Cedrus libani,326500.0,4106500.0,1
Cedrus libani,358500.0,4112500.0,0
Cedrus libani,329500.0,4117500.0,1
Cedrus libani,357500.0,4126500.0,0
Cedrus libani,358500.0,4103500.0,0
Cedrus libani,334500.0,4150500.0,1
Cedrus libani,301500.0,4104500.0,0
Cedrus libani,311500.0,4121500.0,1
Cedrus libani,351500.0,4150500.0,1
Cedrus libani,330500.0,4120500.0,0
Cedrus libani,335500.0,4156500.0,1
Cedrus libani,333500.0,4126500.0,0
Cedrus libani,350500.0,4110500.0,1
Cedrus libani,335500.0,4156500.0,1
Cedrus libani,317500.0,4157500.0,0
Cedrus libani,332500.0,4131500.0,0
Cedrus libani,348500.0,4102500.0,0
Cedrus libani,328500.0,4139500.0,0
Cedrus libani,332500.0,4121500.0,0
Cedrus libani,344500.0,4142500.0,1
Cedrus libani,334500.0,4108500.0,1
Cedrus libani,315500.0,4115500.0,0
Cedrus libani,356500.0,4100500.0,1
Cedrus libani,335500.0,4102500.0,0
Cedrus libani,353500.0,4131500.0,1
Cedrus libani,307500.0,4134500.0,1
Cedrus libani,304500.0,4117500.0,0
Cedrus libani,304500.0,4146500.0,0
Cedrus libani,350500.0,4152500.0,1
Cedrus libani,309500.0,4114500.0,0
Cedrus libani,323500.0,4150500.0,1
Cedrus libani,308500.0,4130500.0,1
Cedrus libani,306500.0,4134500.0,0
Cedrus libani,310500.0,4117500.0,0
Cedrus libani,310500.0,4114500.0,0
Cedrus libani,332500.0,4134500.0,1
Cedrus libani,312500.0,4137500.0,1
Cedrus libani,346500.0,4136500.0,1
Cedrus libani,335500.0,4130500.0,0
Cedrus libani,301500.0,4135500.0,0
Cedrus libani,339500.0,4141500.0,1
Cedrus libani,304500.0,4152500.0,0
Cedrus libani,350500.0,4145500.0,0
Cedrus libani,306500.0,4154500.0,0
Cedrus libani,302500.0,4102500.0,0
Cedrus libani,317500.0,4111500.0,1
Cedrus libani,327500.0,4105500.0,0
Cedrus libani,352500.0,4143500.0,1
Cedrus libani,334500.0,4101500.0,1
Cedrus libani,331500.0,4115500.0,1
Cedrus libani,317500.0,4156500.0,0
Cedrus libani,311500.0,4132500.0,1
Cedrus libani,317500.0,4158500.0,0
Cedrus libani,351500.0,4143500.0,1
Cedrus libani,354500.0,4145500.0,1
Cedrus libani,355500.0,4152500.0,1
Cedrus libani,321500.0,4124500.0,1
Cedrus libani,358500.0,4142500.0,1
Cedrus libani,302500.0,4126500.0,0
Cedrus libani,307500.0,4149500.0,0
Cedrus libani,311500.0,4147500.0,0
Cedrus libani,340500.0,4140500.0,1
Cedrus libani,313500.0,4141500.0,1
Cedrus libani,343500.0,4148500.0,1
Cedrus libani,351500.0,4158500.0,0
Cedrus libani,302500.0,4159500.0,0
Cedrus libani,332500.0,4124500.0,0
Cedrus libani,332500.0,4129500.0,1
Cedrus libani,328500.0,4153500.0,1
Cedrus libani,341500.0,4132500.0,0
Cedrus libani,334500.0,4106500.0,0
Cedrus libani,332500.0,4140500.0,1
Cedrus libani,314500.0,4138500.0,1
Cedrus libani,356500.0,4114500.0,0
Cedrus libani,308500.0,4134500.0,0
