plot,x,y
P1,319500.0,4120500.0
P2,336500.0,4151500.0
P3,300500.0,4129500.0
P4,303500.0,4128500.0
P5,317500.0,4116500.0
P6,306500.0,4115500.0
P7,313500.0,4116500.0
P8,331500.0,4141500.0
P9,345500.0,4126500.0
P10,318500.0,4130500.0
P11,329500.0,4130500.0
P12,349500.0,4152500.0
P13,357500.0,4124500.0
P14,312500.0,4140500.0
P15,305500.0,4100500.0
P16,330500.0,4158500.0
P17,318500.0,4130500.0
P18,304500.0,4107500.0
P19,332500.0,4131500.0
P20,317500.0,4135500.0
P21,313500.0,4101500.0
P22,359500.0,4146500.0
P23,304500.0,4122500.0
P24,305500.0,4150500.0
P25,347500.0,4126500.0
P26,316500.0,4136500.0
P27,308500.0,4121500.0
P28,352500.0,4119500.0
P29,332500.0,4142500.0
P30,356500.0,4152500.0
P31,345500.0,4136500.0
P32,314500.0,4128500.0
P33,357500.0,4103500.0
P34,331500.0,4134500.0
P35,301500.0,4149500.0
P36,300500.0,4128500.0
P37,343500.0,4131500.0
P38,325500.0,4140500.0
P39,346500.0,4150500.0
P40,326500.0,4137500.0
P41,324500.0,4139500.0
P42,307500.0,4106500.0
P43,321500.0,4159500.0
P44,320500.0,4111500.0
P45,321500.0,4106500.0
P46,325500.0,4152500.0
P47,359500.0,4147500.0
P48,345500.0,4159500.0
P49,357500.0,4112500.0
P50,318500.0,4143500.0
P51,323500.0,4155500.0
P52,325500.0,4135500.0
P53,355500.0,4122500.0
P54,304500.0,4136500.0
P55,359500.0,4132500.0
P56,348500.0,4142500.0
P57,354500.0,4156500.0
P58,317500.0,4153500.0
P59,303500.0,4106500.0
P60,342500.0,4141500.0
P61,340500.0,4100500.0
P62,309500.0,4144500.0
P63,317500.0,4132500.0
P64,332500.0,4139500.0
P65,312500.0,4110500.0
P66,323500.0,4109500.0
P67,327500.0,4103500.0
P68,301500.0,4108500.0
P69,348500.0,4119500.0
P70,325500.0,4101500.0
P71,356500.0,4124500.0
P72,335500.0,4146500.0
P73,346500.0,4154500.0
P74,303500.0,4100500.0
P75,346500.0,4133500.0
P76,328500.0,4120500.0
P77,348500.0,4151500.0
P78,341500.0,4104500.0
P79,318500.0,4128500.0
P80,303500.0,4101500.0
P81,359500.0,4124500.0
P82,308500.0,4149500.0
P83,330500.0,4133500.0
P84,321500.0,4141500.0
P85,319500.0,4143500.0
P86,347500.0,4112500.0
P87,341500.0,4143500.0
P88,325500.0,4118500.0
P89,315500.0,4140500.0
P90,330500.0,4124500.0
